date,datetime,cash_type,card,money,coffee_name,money_prev_day,money_prev_7_days,money_prev_30_days
2017-01-14,2017-01-14 00:00:00,cash,ANON-1197-8125-2930,83.47886858974455,Latte,50.30048481157825,67.68600632140576,55.70498282530036
2017-01-14,2017-01-14 00:00:00,card,ANON-5218-9958-5389,43.10048194473279,Hot Chocolate,83.47886858974455,67.66565484379434,56.358302992367406
2017-01-14,2017-01-14 00:00:00,card,ANON-5282-3511-1659,39.33630146816962,Hot Chocolate,43.10048194473279,67.02758222398616,57.39989890763776
2017-01-15,2017-01-15 00:00:00,cash,ANON-2986-9338-3911,18.65588959822787,Latte,39.33630146816962,67.06301616488639,55.40114094536976
2017-01-15,2017-01-15 00:00:00,card,ANON-9155-9120-7616,28.816445866394233,Americano,18.65588959822787,55.92524945823466,55.2711890166879
2017-01-15,2017-01-15 00:00:00,card,ANON-2959-6759-7694,94.30569898630611,Latte,28.816445866394233,50.776057430835166,55.29938253242596
2017-01-16,2017-01-16 00:00:00,cash,ANON-7295-7197-2648,24.54658426851524,Hot Chocolate,94.30569898630611,51.14202446645049,57.598000127574295
2017-01-16,2017-01-16 00:00:00,card,ANON-4108-8158-8400,41.428861715139476,Cappuccino,24.54658426851524,47.46289581744149,57.39020479299168
2017-01-16,2017-01-16 00:00:00,card,ANON-7287-9815-3049,99.66283297821319,Hot Chocolate,41.428861715139476,41.4557519782122,57.66149357202961
2017-01-17,2017-01-17 00:00:00,card,ANON-3557-6592-1098,97.62974530797855,Americano,99.66283297821319,49.53608784013797,60.556314793936714
2017-01-17,2017-01-17 00:00:00,cash,ANON-5973-5433-3869,50.35817286876226,Espresso,97.62974530797855,57.863722674396385,60.792824252919715
2017-01-18,2017-01-18 00:00:00,cash,ANON-9352-6699-7944,54.450434366509114,Hot Chocolate,50.35817286876226,62.39262028447273,59.89613635146632
2017-01-19,2017-01-19 00:00:00,card,ANON-5496-5735-5555,55.7932669154884,Espresso,54.450434366509114,66.05461864163199,60.54981995094899
2017-01-19,2017-01-19 00:00:00,card,ANON-6895-4354-1225,41.50705669252081,Latte,55.7932669154884,60.55284263151517,59.759527873575294
2017-01-19,2017-01-19 00:00:00,cash,ANON-8022-6600-8996,54.92740418962771,Hot Chocolate,41.50705669252081,62.975767263515976,58.622741592536364
2017-01-20,2017-01-20 00:00:00,card,ANON-4170-1699-6088,16.78116304055154,Espresso,54.92740418962771,64.90413047415714,58.1137979741998
2017-01-20,2017-01-20 00:00:00,cash,ANON-4444-2060-3327,39.767527420346234,Espresso,16.78116304055154,53.06389191163406,55.594957715586844
2017-01-20,2017-01-20 00:00:00,cash,ANON-8679-9208-8339,94.64127259176229,Espresso,39.767527420346234,44.79786078482944,56.5109512493661
2017-01-21,2017-01-21 00:00:00,cash,ANON-7102-2184-4327,53.67518868486841,Americano,94.64127259176229,51.124017888115155,58.564122034140865
2017-01-22,2017-01-22 00:00:00,cash,ANON-6854-7709-1569,93.70151513297486,Americano,53.67518868486841,51.01326850502363,57.880227295300834
2017-01-23,2017-01-23 00:00:00,cash,ANON-2686-4009-8806,56.64966871273631,Americano,93.70151513297486,56.42873253609313,59.727209856504345
2017-01-23,2017-01-23 00:00:00,cash,ANON-1784-9096-8560,73.22356755883983,Espresso,56.64966871273631,58.59196282469534,59.66267553969053
2017-01-23,2017-01-23 00:00:00,cash,ANON-3806-1537-6986,33.05862492350123,Espresso,73.22356755883983,61.20570044886849,58.98103483462414
2017-01-24,2017-01-24 00:00:00,card,ANON-8992-5780-3368,16.38468252999349,Hot Chocolate,33.05862492350123,63.531052146432735,58.7766206023917
2017-01-24,2017-01-24 00:00:00,card,ANON-7614-6919-1853,39.53374007272588,Americano,16.38468252999349,60.190645733525194,56.535399055624005
2017-01-25,2017-01-25 00:00:00,cash,ANON-4051-1004-6222,17.68127184943912,Espresso,39.53374007272588,52.31814108794857,56.26762404860186
2017-01-25,2017-01-25 00:00:00,cash,ANON-5777-4854-3491,39.39861176164368,Espresso,17.68127184943912,47.17615296860153,55.5540576475209
2017-01-25,2017-01-25 00:00:00,cash,ANON-2148-7293-7457,87.43641564805077,Latte,39.39861176164368,39.41859534412565,53.646669488082686
2017-01-26,2017-01-26 00:00:00,card,ANON-7966-8079-8987,21.947088001867282,Americano,87.43641564805077,43.816702049170566,54.39919034107802
2017-01-26,2017-01-26 00:00:00,cash,ANON-2693-5752-9311,34.374902613586684,Hot Chocolate,21.947088001867282,36.49149068388878,52.07262894990697
2017-01-27,2017-01-27 00:00:00,card,ANON-9932-9308-6949,85.23821084609853,Latte,34.374902613586684,36.67953035390099,51.541776209973925
2017-01-27,2017-01-27 00:00:00,cash,ANON-2664-2081-1512,49.8117006757994,Latte,85.23821084609853,46.515748684773136,51.60042095185238
2017-01-28,2017-01-28 00:00:00,card,ANON-4343-5070-1580,65.05486716109169,Cappuccino,49.8117006757994,47.98402877092649,51.82412824288794
2017-01-29,2017-01-29 00:00:00,card,ANON-3141-7617-3479,82.62216793457016,Hot Chocolate,65.05486716109169,54.75168524401972,52.68141376598534
2017-01-29,2017-01-29 00:00:00,cash,ANON-4506-8253-3744,40.76917000447614,Hot Chocolate,82.62216793457016,60.92647898300921,54.813623043863416
2017-01-30,2017-01-30 00:00:00,cash,ANON-5452-6881-7665,95.42311584322474,Hot Chocolate,40.76917000447614,54.259729605355695,55.21204718179948
2017-01-31,2017-01-31 00:00:00,cash,ANON-8390-7905-3489,55.09358955237333,Espresso,95.42311584322474,64.7563050112639,55.24929441036343
2017-01-31,2017-01-31 00:00:00,card,ANON-5611-3839-9527,67.8177350385684,Latte,55.09358955237333,67.71611743109057,56.26752791982537
2017-02-01,2017-02-01 00:00:00,card,ANON-8723-5380-5107,19.070020123968398,Americano,67.8177350385684,65.22747803001484,57.14715703060633
2017-02-01,2017-02-01 00:00:00,cash,ANON-2687-7833-3427,21.565031791051915,Espresso,19.070020123968398,60.835809379753265,54.46072993546485
2017-02-01,2017-02-01 00:00:00,card,ANON-6732-6387-9002,83.83841593941412,Americano,21.565031791051915,54.622975755461866,51.92523948490062
2017-02-02,2017-02-02 00:00:00,card,ANON-9945-3082-9967,44.68569588690085,Americano,83.83841593941412,54.79672547043958,53.04124758725569
2017-02-03,2017-02-03 00:00:00,card,ANON-6745-1412-8543,76.15639394234972,Espresso,44.68569588690085,55.35622916792882,52.715756304602074
